instrument,timestamp_utc,open_price,high_price,low_price,close_price,record_timestamp_utc
LSE:MAG7,2025-09-12 10:05:00+00:00,29.8,29.8,29.8,29.8,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 10:10:00+00:00,29.8,29.8,29.8,29.8,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 10:15:00+00:00,29.8,29.8,29.8,29.8,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 10:40:00+00:00,29.82,29.82,29.82,29.82,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 10:45:00+00:00,29.82,29.82,29.82,29.82,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 10:50:00+00:00,29.82,29.82,29.82,29.82,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 10:55:00+00:00,29.87,29.87,29.87,29.87,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 11:00:00+00:00,29.87,29.87,29.8,29.82,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 11:05:00+00:00,29.85,29.85,29.85,29.85,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 11:10:00+00:00,29.75,29.75,29.75,29.75,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 11:15:00+00:00,29.71,29.71,29.71,29.71,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 11:20:00+00:00,29.73,29.74,29.7,29.74,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 11:30:00+00:00,29.77,29.77,29.77,29.77,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 11:55:00+00:00,29.83,29.95,29.83,29.95,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 12:00:00+00:00,30.0,30.0,30.0,30.0,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 12:10:00+00:00,29.83,29.83,29.83,29.83,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 12:15:00+00:00,30.0,30.0,29.92,29.95,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 12:20:00+00:00,29.98,29.98,29.98,29.98,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 12:25:00+00:00,29.94,29.94,29.94,29.94,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 12:30:00+00:00,29.89,29.91,29.89,29.91,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 12:35:00+00:00,29.8,29.8,29.8,29.8,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 12:45:00+00:00,29.98,29.98,29.87,29.87,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 12:55:00+00:00,29.92,29.92,29.92,29.92,2025-09-20 17:52:14
LSE:MAG7,2025-09-12 13:00:00+00:00,29.98,30.0,29.98,30.0,2025-09-20 17:52:14
