instrument,timestamp_utc,open_price,high_price,low_price,close_price,record_timestamp_utc
BINANCE:TONUSDT,2025-09-19 00:15:00+00:00,3.158,3.162,3.156,3.16,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 00:20:00+00:00,3.159,3.162,3.158,3.16,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 00:25:00+00:00,3.161,3.163,3.16,3.163,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 00:30:00+00:00,3.163,3.168,3.162,3.168,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 00:35:00+00:00,3.168,3.171,3.167,3.17,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 00:40:00+00:00,3.171,3.176,3.171,3.175,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 00:45:00+00:00,3.174,3.175,3.172,3.175,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 00:50:00+00:00,3.175,3.177,3.174,3.176,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 00:55:00+00:00,3.176,3.18,3.176,3.179,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 01:00:00+00:00,3.18,3.182,3.178,3.18,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 01:05:00+00:00,3.181,3.182,3.177,3.177,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 01:10:00+00:00,3.178,3.178,3.173,3.175,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 01:15:00+00:00,3.176,3.18,3.174,3.179,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 01:20:00+00:00,3.18,3.184,3.179,3.181,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 01:25:00+00:00,3.181,3.186,3.181,3.185,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 01:30:00+00:00,3.185,3.189,3.184,3.187,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 01:35:00+00:00,3.186,3.194,3.184,3.192,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 01:40:00+00:00,3.192,3.196,3.187,3.188,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 01:45:00+00:00,3.188,3.188,3.184,3.184,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 01:50:00+00:00,3.185,3.19,3.183,3.19,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 01:55:00+00:00,3.189,3.193,3.185,3.192,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 02:00:00+00:00,3.192,3.195,3.189,3.191,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 02:05:00+00:00,3.19,3.193,3.19,3.19,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 02:10:00+00:00,3.19,3.19,3.183,3.183,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 02:15:00+00:00,3.183,3.185,3.183,3.183,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 02:20:00+00:00,3.183,3.186,3.182,3.182,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 02:25:00+00:00,3.183,3.184,3.18,3.18,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 02:30:00+00:00,3.18,3.181,3.172,3.173,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 02:35:00+00:00,3.173,3.184,3.172,3.182,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 02:40:00+00:00,3.181,3.183,3.18,3.181,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 02:45:00+00:00,3.18,3.185,3.18,3.181,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 02:50:00+00:00,3.182,3.183,3.179,3.181,2025-09-20 17:53:42
BINANCE:TONUSDT,2025-09-19 02:55:00+00:00,3.181,3.187,3.18,3.181,2025-09-20 17:53:42
