instrument,timestamp_utc,open_price,high_price,low_price,close_price,record_timestamp_utc
BINANCE:TONUSDT,2025-09-18 03:25:00,3.153,3.16,3.153,3.158,2025-09-18 03:30:15
BINANCE:TONUSDT,2025-09-21 01:30:00+00:00,3.09,3.091,3.088,3.088,2025-09-21 01:34:08
BINANCE:TONUSDT,2025-09-21 01:40:00+00:00,3.086,3.087,3.085,3.086,2025-09-21 01:43:19
BINANCE:TONUSDT,2025-09-21 01:45:00+00:00,3.086,3.086,3.085,3.085,2025-09-21 01:46:46
BINANCE:TONUSDT,2025-09-21 01:50:00+00:00,3.086,3.09,3.086,3.088,2025-09-21 01:54:57
BINANCE:TONUSDT,2025-09-21 01:55:00+00:00,3.087,3.088,3.087,3.088,2025-09-21 01:57:25
BINANCE:TONUSDT,2025-09-21 01:55:00+00:00,3.087,3.089,3.087,3.088,2025-09-21 01:59:50
BINANCE:TONUSDT,2025-09-21 02:00:00+00:00,3.088,3.093,3.088,3.093,2025-09-21 02:03:04
BINANCE:TONUSDT,2025-09-23 01:55:00+00:00,2.773,2.774,2.771,2.771,2025-09-23 01:50:15
BINANCE:TONUSDT,2025-09-23 02:00:00+00:00,2.771,2.776,2.771,2.775,2025-09-23 01:55:15
BINANCE:TONUSDT,2025-09-23 02:05:00+00:00,2.772,2.775,2.772,2.774,2025-09-23 02:00:15
BINANCE:TONUSDT,2025-09-23 02:10:00+00:00,2.776,2.78,2.776,2.78,2025-09-23 02:05:15
BINANCE:TONUSDT,2025-09-23 02:15:00+00:00,2.773,2.773,2.771,2.771,2025-09-23 02:10:15
BINANCE:TONUSDT,2025-09-23 02:20:00+00:00,2.772,2.775,2.77,2.772,2025-09-23 02:15:15
BINANCE:TONUSDT,2025-09-23 02:25:00+00:00,2.77,2.771,2.77,2.77,2025-09-23 02:20:15
BINANCE:TONUSDT,2025-09-23 02:30:00+00:00,2.765,2.767,2.765,2.767,2025-09-23 02:25:15
BINANCE:TONUSDT,2025-09-23 03:25:00+00:00,2.771,2.778,2.771,2.778,2025-09-23 03:20:15
BINANCE:TONUSDT,2025-09-23 03:30:00+00:00,2.778,2.786,2.778,2.785,2025-09-23 03:25:15
BINANCE:TONUSDT,2025-09-23 03:35:00+00:00,2.791,2.791,2.786,2.79,2025-09-23 03:30:15
BINANCE:TONUSDT,2025-09-23 03:40:00+00:00,2.801,2.804,2.8,2.802,2025-09-23 03:35:15
BINANCE:TONUSDT,2025-09-23 03:45:00+00:00,2.803,2.807,2.802,2.807,2025-09-23 03:40:15
BINANCE:TONUSDT,2025-09-23 03:50:00+00:00,2.803,2.805,2.802,2.803,2025-09-23 03:45:16
BINANCE:TONUSDT,2025-09-23 03:55:00+00:00,2.802,2.803,2.801,2.802,2025-09-23 03:50:15
BINANCE:TONUSDT,2025-09-23 04:00:00+00:00,2.802,2.804,2.8,2.802,2025-09-23 03:55:15
BINANCE:TONUSDT,2025-09-23 04:05:00+00:00,2.802,2.804,2.801,2.802,2025-09-23 04:00:15
BINANCE:TONUSDT,2025-09-23 04:10:00+00:00,2.802,2.804,2.797,2.803,2025-09-23 04:05:15
BINANCE:TONUSDT,2025-09-23 04:15:00+00:00,2.801,2.803,2.801,2.802,2025-09-23 04:10:15
BINANCE:TONUSDT,2025-09-23 04:20:00+00:00,2.804,2.804,2.801,2.802,2025-09-23 04:15:15
BINANCE:TONUSDT,2025-09-23 04:25:00+00:00,2.802,2.802,2.794,2.794,2025-09-23 04:20:15
BINANCE:TONUSDT,2025-09-23 04:40:00+00:00,2.791,2.794,2.786,2.79,2025-09-23 04:35:15
BINANCE:TONUSDT,2025-09-23 04:45:00+00:00,2.789,2.789,2.786,2.786,2025-09-23 04:40:15
BINANCE:TONUSDT,2025-09-23 05:15:00+00:00,2.79,2.795,2.788,2.788,2025-09-23 05:10:15
BINANCE:TONUSDT,2025-09-23 05:20:00+00:00,2.787,2.789,2.787,2.789,2025-09-23 05:15:15
BINANCE:TONUSDT,2025-09-23 05:25:00+00:00,2.789,2.793,2.789,2.792,2025-09-23 05:20:15
BINANCE:TONUSDT,2025-09-23 05:30:00+00:00,2.793,2.798,2.793,2.797,2025-09-23 05:25:15
BINANCE:TONUSDT,2025-09-23 06:10:00+00:00,2.808,2.809,2.806,2.808,2025-09-23 06:05:15
